time,timestamp,frontend_adservice,frontend_currencyservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,checkoutservice_emailservice,checkoutservice_paymentservice,frontend_shippingservice,checkoutservice_shippingservice,checkoutservice_currencyservice,checkoutservice_cartservice,frontend_recommendationservice,frontend_checkoutservice,frontend_cartservice
2022-08-23 12:42:28.90500329 +0000 UTC m=+2580.887439575,1661258548,0.014423077,0.007535461,0.006666667,0.004023364,0.003352941,0.003,0.003,0.0035,0.005,0.1,0.0075,0.008,0.2125,0.005346154
2022-08-23 12:43:28.677098982 +0000 UTC m=+2640.659535258,1661258608,0.014144737,0.008244681,0.006875,0.004274559,0.003708861,0.0075,0.00625,0.0037,0.005,0.004333333,0.0075,0.00808642,0.19375,0.005809859
2022-08-23 12:44:28.694282671 +0000 UTC m=+2700.676718950,1661258668,0.011442308,0.007833333,0.004111111,0.003925373,0.0033,0.003,0.00625,0.0036,0.004,0.053125,0.005,0.007987013,0.1375,0.003746988
2022-08-23 12:45:28.567673929 +0000 UTC m=+2760.550110205,1661258728,0.01225,0.007130435,0.005,0.003957606,0.00395082,0.0035,0.003,0.00332,0.003222222,0.004454545,0.0035,0.008309859,0.25,0.064814815
2022-08-23 12:46:28.610097195 +0000 UTC m=+2820.592533470,1661258788,0.014934211,0.007359813,0.003307692,0.003714607,0.003637681,0.0035,0.003,0.00348,0.0035,0.004076923,0.1,0.007980769,0.225,0.065833333
2022-08-23 12:47:28.6597232 +0000 UTC m=+2880.642159513,1661258848,0.011,0.009201031,0.0046,0.004292035,0.003382353,0.003,0.003,0.003842105,0.003,0.003363636,0.1,0.008625,0.4375,0.128947368
2022-08-23 12:48:28.611191122 +0000 UTC m=+2940.593627397,1661258908,0.016730769,0.007857143,0.004,0.004710611,0.003666667,0.003,0.004,0.003888889,0.005,0.00325,0.19,0.008606557,0.666666667,0.209090909
2022-08-23 12:49:28.612405885 +0000 UTC m=+3000.594842160,1661258968,0.013214286,0.007300885,0.004,0.004028302,0.003647059,0.003,0.005,0.004733333,0.003,0.0375,0.003666667,0.008181818,0.175,0.006071429
2022-08-23 12:50:28.563318122 +0000 UTC m=+3060.545754397,1661259028,0.018203125,0.007414966,0.005,0.004345345,0.003405797,0.005,0.005,0.003777778,0.006666667,0.07,0.005,0.008134328,0.175,0.004962264
2022-08-23 12:51:28.656078052 +0000 UTC m=+3120.638514338,1661259088,0.01609375,0.008490991,0.00425,0.004202128,0.003325581,0.003,0.005,0.004157895,0.003666667,0.02125,0.005714286,0.007865854,0.175,0.006195652
2022-08-23 12:52:28.562085158 +0000 UTC m=+3180.544521432,1661259148,0.016315789,0.009227642,0.003333333,0.004204188,0.003416667,0.003,0.003666667,0.003571429,0.003666667,0.00375,0.0075,0.007891566,0.5,0.00545082
2022-08-23 12:53:28.65305844 +0000 UTC m=+3240.635494715,1661259208,0.015769231,0.007157534,0.004333333,0.00441954,0.003591549,0.003,0.003666667,0.003933333,0.0042,0.003153846,0.003666667,0.007980769,0.2125,0.004352941
2022-08-23 12:54:28.83799804 +0000 UTC m=+3300.820434324,1661259268,0.0128125,0.00622549,0.004090909,0.003963504,0.003305556,0.003,0.003285714,0.003363636,0.003666667,0.004846154,0.004555556,0.008012821,0.4375,0.004373134
2022-08-23 12:55:28.644509781 +0000 UTC m=+3360.626946056,1661259328,0.013984375,0.007083333,0.003,0.003846652,0.003321839,0.003,0.003,0.004529412,0.003,0.0375,0.004333333,0.007869318,0.375,0.004333333
2022-08-23 12:56:28.577264506 +0000 UTC m=+3420.559700782,1661259388,0.011388889,0.008010204,0.003571429,0.003939759,0.00338961,0.003,0.003,0.003470588,0.003,0.03125,0.006666667,0.007797619,0.625,0.005685484
2022-08-23 12:57:28.61166109 +0000 UTC m=+3480.594097376,1661259448,0.01375,0.009288618,0.004,0.004054705,0.003517647,0.003,0.00625,0.003761905,0.003,0.004,0.007,0.007884615,0.325,0.005428571
2022-08-23 12:58:28.519554711 +0000 UTC m=+3540.501990988,1661259508,0.017329545,0.00754,0.006,0.004601064,0.003488889,0.003,0.005625,0.003571429,0.003545455,0.05625,0.004111111,0.008139535,0.19,0.004324324
2022-08-23 12:59:29.012120187 +0000 UTC m=+3600.994556482,1661259569,0.012837838,0.008405172,0.003,0.00378733,0.003307692,0.003666667,0.003,0.003380952,0.003333333,0.004,0.0065,0.00787037,0.2,0.004162162
2022-08-23 13:00:28.650135653 +0000 UTC m=+3660.632571929,1661259628,0.013445946,0.008119835,0.0038,0.003816514,0.003216867,0.0075,0.003,0.003416667,0.0034,0.0035,0.0075,0.008309859,0.3125,0.005390625
2022-08-23 13:01:28.821416486 +0000 UTC m=+3720.803852772,1661259688,0.014166667,0.006754032,0.0045,0.004335443,0.003766667,0.003,0.003,0.003923077,0.003153846,0.004818182,0.007,0.008059701,0.375,0.005901639
2022-08-23 13:02:28.684622944 +0000 UTC m=+3780.667059218,1661259748,0.013,0.008477011,0.008,0.003822857,0.0034,0.003666667,0.006666667,0.003454545,0.005,0.004428571,0.006666667,0.008220339,0.25,0.00425
2022-08-23 13:03:28.598805951 +0000 UTC m=+3840.581242227,1661259808,0.017125,0.007462121,0.004090909,0.004274238,0.0034,,,0.004285714,0.006666667,0.004230769,0.005,0.007986111,0.25,0.005491071
2022-08-23 13:04:28.772048243 +0000 UTC m=+3900.754484518,1661259868,0.015472973,0.019,0.0042,0.003945813,0.003430769,,,0.0041,0.003,0.01375,0.0045,0.007928571,0.2,0.004217391
2022-08-23 13:05:28.68205431 +0000 UTC m=+3960.664490606,1661259928,0.016458333,0.050824176,0.005227273,0.004450382,0.003586667,,,0.0041,0.005,0.075,0.0075,0.008194444,0.75,0.006190476
2022-08-23 13:06:28.930407502 +0000 UTC m=+4020.912843797,1661259988,0.013629032,0.008785047,0.003,0.003899756,0.003188235,0.003,0.003,0.004058824,0.003,0.005,0.005,0.007875,0.2125,0.005806452
2022-08-23 13:07:28.738726744 +0000 UTC m=+4080.721163019,1661260048,0.014772727,0.009861111,0.004846154,0.003717241,0.003302326,0.003285714,0.003666667,0.003347826,0.003666667,0.0075,0.003909091,0.007901235,0.19,0.004162162
2022-08-23 13:08:28.76080766 +0000 UTC m=+4140.743243935,1661260108,0.015514706,0.008245342,0.005,0.004407855,0.003716418,0.003666667,0.005,0.003521739,0.005,0.004333333,0.005,0.008198529,0.0875,0.004862069
2022-08-23 13:09:28.702409718 +0000 UTC m=+4200.684845993,1661260168,0.009934211,0.008608247,0.005588235,0.003904762,0.003628571,0.003285714,0.003285714,0.003307692,0.003285714,0.0375,0.003909091,0.008184932,0.25,0.004295775
2022-08-23 13:10:28.614458426 +0000 UTC m=+4260.596894701,1661260228,0.013857143,0.008285124,0.006666667,0.004050938,0.003384615,0.003,0.003,0.003526316,0.005,0.0175,0.004,0.008269231,0.1,0.006035714
2022-08-23 13:11:28.664782446 +0000 UTC m=+4320.647218732,1661260288,0.014423077,0.009552632,0.004285714,0.003707838,0.003716418,,0.005,0.003631579,0.005,0.004411765,0.00625,0.007939189,0.4375,0.005046296
2022-08-23 13:12:28.766914285 +0000 UTC m=+4380.749350561,1661260348,0.01695122,0.007800752,0.0045,0.004469945,0.00357971,,0.00625,0.0035,0.00625,0.00625,0.004,0.008116438,0.3125,0.004766667
2022-08-23 13:13:28.829155003 +0000 UTC m=+4440.811591278,1661260408,0.013958333,0.0328125,0.003727273,0.004116279,0.003636364,,0.005833333,0.003941176,0.003,0.004238095,0.005,0.00807971,0.25,0.0044375
2022-08-23 13:14:28.684671836 +0000 UTC m=+4500.667108166,1661260468,0.015227273,0.009116379,0.003842105,0.003887179,0.0035,0.003,0.0035,0.003526316,0.0035,0.0375,0.005,0.007941176,0.75,0.005613208
2022-08-23 13:15:28.831687525 +0000 UTC m=+4560.814123803,1661260528,0.014191176,0.050775194,0.005,0.004492386,0.003444444,0.003,0.005,0.004545455,0.003666667,0.06875,0.003666667,0.008117284,0.416666667,0.006197183
2022-08-23 13:16:28.715441327 +0000 UTC m=+4620.697877603,1661260588,0.013461538,0.009233871,0.005,0.004218329,0.003342105,0.004,0.003,0.003777778,0.004,0.125,0.00625,0.007894737,0.5,0.004333333
2022-08-23 13:17:28.618847025 +0000 UTC m=+4680.601283322,1661260648,0.013428571,0.006666667,0.004333333,0.003873362,0.003631579,0.003,0.003,0.003434783,0.005,0.0042,0.006666667,0.008017241,0.15,0.004333333
2022-08-23 13:18:28.802499219 +0000 UTC m=+4740.784935494,1661260708,0.015294118,0.007606838,0.004,0.004340757,0.003609756,0.003,0.003,0.003923077,0.0034,0.003571429,0.004,0.008433735,0.2125,0.004307692
2022-08-23 13:19:28.674202534 +0000 UTC m=+4800.656638847,1661260768,0.01387931,0.022034884,0.0075,0.004203085,0.003666667,0.005,0.003,0.00337037,0.005,0.0625,0.006666667,0.008229167,0.8125,0.005447761
2022-08-23 13:20:28.856974206 +0000 UTC m=+4860.839410481,1661260828,0.016036585,0.006435644,0.005,0.003799117,0.003450704,0.003666667,0.005,0.003695652,0.003666667,0.006666667,0.005,0.008116883,0.75,0.005570175
2022-08-23 13:21:28.544931946 +0000 UTC m=+4920.527368230,1661260888,0.0146875,0.011956522,0.006071429,0.004319277,0.00338961,0.003,0.0042,0.004,0.0042,0.0875,0.0042,0.008098592,0.75,0.004460317
2022-08-23 13:22:28.786091325 +0000 UTC m=+4980.768527600,1661260948,0.015333333,0.007636719,0.005833333,0.004281609,0.003636364,0.0075,0.004,0.003631579,0.003,0.003363636,0.0075,0.008452381,0.25,0.004166667
2022-08-23 13:23:28.839509965 +0000 UTC m=+5040.821946240,1661261008,0.015192308,0.008155738,0.0046,0.004180791,0.003371429,0.003,0.005,0.004714286,0.003666667,0.004142857,0.003,0.007951389,0.75,0.004862069
2022-08-23 13:24:28.963393488 +0000 UTC m=+5100.945829790,1661261068,0.015192308,0.007259615,0.004222222,0.003934343,0.00325,0.0038,0.005625,0.00375,0.003545455,0.01,0.007,0.007884615,0.2,0.005482456
2022-08-23 13:25:28.683330566 +0000 UTC m=+5160.665766842,1661261128,0.016607143,0.007462121,0.007142857,0.004316195,0.003232558,0.003,0.005625,0.004411765,0.003545455,0.0375,0.0065,0.007777778,0.175,0.006170886
2022-08-23 13:26:28.754905189 +0000 UTC m=+5220.737341465,1661261188,0.014756098,0.008082707,0.005357143,0.003945946,0.00327907,0.003,0.003,0.0032,0.003285714,0.004285714,0.005555556,0.007717391,0.175,0.004125
2022-08-23 13:27:28.824742824 +0000 UTC m=+5280.807179100,1661261248,0.013243243,0.007441406,0.004,0.003762557,0.003268293,0.003,0.0038,0.003181818,0.003153846,0.003315789,0.0045,0.007827381,0.2125,0.004173333
2022-08-23 13:28:28.612496092 +0000 UTC m=+5340.594932367,1661261308,0.0175,1.039473684,0.0075,0.005078947,0.005192308,0.003,0.003,0.0075,0.003,0.375,0.005,0.013157895,0.375,0.007321429
2022-08-23 13:29:28.56399226 +0000 UTC m=+5400.546428535,1661261368,0.023333333,1.568965517,0.0075,0.006036585,0.005909091,0.003,0.0075,0.00625,0.005,3.125,0.0075,0.012647059,2.5,0.007357143
2022-08-23 13:30:28.828272694 +0000 UTC m=+5460.810708988,1661261428,0.015,2.220338983,,0.006289063,0.007083333,,,0.006666667,,,,0.013125,7.5,0.005681818
2022-08-23 13:31:28.724734221 +0000 UTC m=+5520.707170497,1661261488,0.0175,2.431818182,0.008,0.006174242,0.007291667,,,0.003666667,0.0075,4.375,,0.01609375,,0.006973684
2022-08-23 13:32:28.752955271 +0000 UTC m=+5580.735391573,1661261548,0.0125,0.226136364,0.006875,0.003797468,0.004209302,0.003285714,0.00625,0.003210526,0.0042,0.301470588,0.005357143,0.008645833,0.4375,0.006712963
2022-08-23 13:33:28.649989507 +0000 UTC m=+5640.632425782,1661261608,0.0125,0.009726891,0.004714286,0.003805556,0.003405063,0.003333333,0.005625,0.003380952,0.003333333,0.033333333,0.005,0.007804878,0.2125,0.004216216
2022-08-23 13:34:28.502712732 +0000 UTC m=+5700.485149007,1661261668,0.015853659,0.009777228,0.004555556,0.004105263,0.003531646,0.003,0.004,0.004733333,0.004,0.00625,0.00625,0.008141026,0.4375,0.005953947
2022-08-23 13:35:28.784910654 +0000 UTC m=+5760.767346929,1661261728,0.01140625,0.00851626,0.005,0.003893401,0.003529412,0.003,0.003666667,0.00347619,0.003,0.01,0.006666667,0.008098592,0.1375,0.005482456
2022-08-23 13:36:28.702713353 +0000 UTC m=+5820.685149638,1661261788,0.015113636,0.007568027,0.007,0.003901961,0.003439024,0.00325,0.0046,0.003384615,0.005,0.005833333,0.006785714,0.008058824,0.2125,0.004324675
2022-08-23 13:37:28.701200045 +0000 UTC m=+5880.683636321,1661261848,0.017767857,0.592105263,0.004692308,0.00427193,0.004055556,0.003,0.00325,0.003181818,0.00325,0.02125,0.004272727,0.008881579,1.375,0.005071429
2022-08-23 13:38:28.844299907 +0000 UTC m=+5940.826736187,1661261908,0.016057692,0.75,0.0038,0.00385124,0.0035,0.003,0.003666667,0.00425,0.003666667,0.75,0.005,0.008095238,,0.007279412
2022-08-23 13:39:28.603018719 +0000 UTC m=+6000.585454993,1661261968,0.017125,0.75,0.00625,0.004517588,0.003465116,0.005,0.005,0.0042,0.005,0.75,0.006,0.008154762,1.75,0.005
2022-08-23 13:40:28.78384674 +0000 UTC m=+6060.766283032,1661262028,0.016477273,0.75,0.004,0.004346535,0.0038,0.003,0.003,0.004333333,0.003666667,0.75,0.006666667,0.008642857,1.75,0.004487179
2022-08-23 13:41:28.632289692 +0000 UTC m=+6120.614725977,1661262088,0.014285714,0.016214286,,0.004041322,0.003553846,,,0.004,,,,0.008203125,0.075,0.005725806
2022-08-23 13:42:28.772866096 +0000 UTC m=+6180.755302371,1661262148,0.01725,0.008013699,0.005833333,0.004430025,0.003592593,0.005,0.003,0.003916667,0.005,0.0375,0.006875,0.008433333,0.225,0.006145833
2022-08-23 13:43:28.791168486 +0000 UTC m=+6240.773604761,1661262208,0.014934211,0.00997093,0.003545455,0.004125964,0.00356338,0.003,0.0035,0.003454545,0.0035,0.004,0.006071429,0.008108108,0.2125,0.004108108
2022-08-23 13:44:28.4821389 +0000 UTC m=+6300.464575176,1661262268,0.017297297,0.006268939,0.004666667,0.003927536,0.00332,0.003,0.0035,0.004,0.0035,0.006666667,0.004333333,0.008074324,0.3125,0.005677966
2022-08-23 13:45:28.812695843 +0000 UTC m=+6360.795132119,1661262328,0.015833333,0.007801418,0.00425,0.004368687,0.003657895,0.003,0.003,0.004222222,0.0075,0.005,0.007,0.008269231,0.25,0.005396825
2022-08-23 13:46:28.56830334 +0000 UTC m=+6420.550739633,1661262388,0.01695122,0.008960177,0.00625,0.004066667,0.003307692,0.05,0.0034,0.0035,0.003666667,0.004285714,0.006666667,0.007890625,0.2125,0.004403509
2022-08-23 13:47:28.784332112 +0000 UTC m=+6480.766768416,1661262448,0.012045455,0.010803571,0.005,0.0036,0.003575342,0.025,0.003,0.003214286,0.003666667,0.0625,0.005,0.00796875,0.375,0.003814815
2022-08-23 13:48:28.620458259 +0000 UTC m=+6540.602894534,1661262508,0.01375,0.007556391,0.003875,0.004215385,0.003455696,0.025,0.0035,0.003380952,0.003666667,0.0425,0.005,0.008108974,0.3125,0.005961538
2022-08-23 13:49:28.659222168 +0000 UTC m=+6600.641658443,1661262568,0.0146875,0.008995327,0.0036,0.00395302,0.003873239,0.875,0.003666667,0.003411765,0.003666667,0.0625,0.006666667,0.0084,0.875,0.005798611
2022-08-23 13:50:28.687424975 +0000 UTC m=+6660.669861249,1661262628,0.015142857,0.017241379,0.007142857,0.004239892,0.003438356,1.375,0.003666667,0.004857143,0.003666667,0.005833333,0.003571429,0.008178571,2.125,0.004093333
2022-08-23 13:51:28.915681707 +0000 UTC m=+6720.898117996,1661262688,0.015,0.01,0.003545455,0.004264095,0.003273973,0.003,0.004333333,0.003333333,0.003,0.004454545,0.003857143,0.008115385,0.175,0.004483871
2022-08-23 13:52:28.728082858 +0000 UTC m=+6780.710519133,1661262748,0.015227273,0.011944444,0.005833333,0.004618529,0.004030303,0.003666667,0.003666667,0.004222222,0.003666667,0.00625,0.0075,0.008731343,0.3125,0.005384615
2022-08-23 13:53:28.790495881 +0000 UTC m=+6840.772932156,1661262808,0.015706522,0.009571429,0.004555556,0.004105398,0.003317073,0.003,0.0034,0.003166667,0.003181818,0.004666667,0.005,0.008026316,0.3125,0.004866667
2022-08-23 13:54:28.637524745 +0000 UTC m=+6900.619961032,1661262868,0.016071429,0.008467742,0.00325,0.004438144,0.003372093,0.004,0.003,0.0041,0.003,0.01,0.005,0.008109756,0.175,0.005466102
2022-08-23 13:55:28.82818221 +0000 UTC m=+6960.810618485,1661262928,0.014112903,0.008409091,0.005,0.004139949,0.003611111,0.75,0.004,0.0043,0.004,0.05,0.003,0.008263889,1.75,0.003888889
2022-08-23 13:56:28.573687296 +0000 UTC m=+7020.556123580,1661262988,0.014928571,0.012934783,0.0042,0.004061425,0.003459459,0.75,0.003,0.0039,0.003222222,0.03125,0.004333333,0.008229167,1.75,0.004935484
2022-08-23 13:57:28.762233127 +0000 UTC m=+7080.744669403,1661263048,0.013636364,0.007853774,0.003444444,0.00405,0.003521739,0.75,0.004333333,0.003181818,0.003,0.006666667,0.006428571,0.00806338,1.75,0.006730769
2022-08-23 13:58:28.669874127 +0000 UTC m=+7140.652310411,1661263108,0.017291667,0.008346774,0.004,0.004194245,0.003465116,0.0035,0.0035,0.003909091,0.003222222,0.0075,0.007222222,0.008072289,0.2125,0.006517857
2022-08-23 13:59:28.648159023 +0000 UTC m=+7200.630595306,1661263168,0.014791667,0.007789116,0.005416667,0.004185567,0.003229885,0.003,0.0035,0.004375,0.0035,0.003666667,0.0035,0.007696629,0.19375,0.004850746
