time,timestamp,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_emailservice,frontend_currencyservice,frontend_recommendationservice,recommendationservice_productcatalogservice,checkoutservice_cartservice,frontend_checkoutservice,frontend_shippingservice,frontend_adservice,frontend_productcatalogservice,checkoutservice_shippingservice,frontend_cartservice,checkoutservice_paymentservice
2022-08-23 12:09:28.584049553 +0000 UTC m=+600.566485828,1661256568,0.00375,0.0038,0.003,0.0041,0.00790625,0.003352941,0.003,0.175,0.003,0.015073529,0.003195804,0.003,0.003036364,0.003
2022-08-23 12:10:28.614201032 +0000 UTC m=+660.596637306,1661256628,0.00325,0.01,0.003,0.006315789,0.007614943,0.003230769,0.003,0.291666667,0.003,0.013888889,0.003155039,0.003,0.003017241,0.003
2022-08-23 12:11:28.55014176 +0000 UTC m=+720.532578042,1661256688,0.003,0.003666667,0.003,0.003825806,0.0075,0.003057143,0.003,0.0875,0.0030625,0.012142857,0.003046693,0.003,0.003098361,0.003
2022-08-23 12:12:28.713588546 +0000 UTC m=+780.696024821,1661256748,0.003,0.003,0.003,0.00385,0.007666667,0.003058824,0.003,0.175,0.003,0.01,0.003075188,0.003,0.003036364,0.003
2022-08-23 12:13:28.587639956 +0000 UTC m=+840.570076231,1661256808,0.003,0.003166667,0.003,0.003787611,0.007567568,0.003148148,0.003,0.25,0.003,0.01375,0.003075117,0.003,0.003063492,0.003
2022-08-23 12:14:28.585364193 +0000 UTC m=+900.567800481,1661256868,0.003315789,0.0325,0.003,0.008958333,0.008219178,0.003461538,0.003,0.22,0.003,0.013046875,0.003160684,0.003,0.003,0.003
2022-08-23 12:15:28.770376012 +0000 UTC m=+960.752812287,1661256928,0.003,0.004,0.003,0.004281818,0.007642045,0.003117647,0.003,0.175,0.003,0.014125,0.003120219,0.002818182,0.003054545,0.003
2022-08-23 12:16:28.515285051 +0000 UTC m=+1020.497721327,1661256988,0.003,0.003875,0.003,0.004311927,0.008103448,0.003273684,0.003,0.1375,0.003,0.013461538,0.003151002,0.003,0.003016,0.003
2022-08-23 12:17:28.836918746 +0000 UTC m=+1080.819355021,1661257048,0.003,0.03125,0.003,0.00473,0.00760989,0.003225352,0.003117647,0.1,0.003,0.014642857,0.003115226,0.003,0.00312963,0.003
2022-08-23 12:18:28.707157513 +0000 UTC m=+1140.689593797,1661257108,0.003,0.005,0.003,0.004630631,0.007761628,0.003134831,0.003,0.375,0.003,0.015833333,0.003202749,0.003,0.003016,0.003
2022-08-23 12:19:28.523145023 +0000 UTC m=+1200.505581297,1661257168,0.003,0.003133333,0.003,0.004513812,0.007575758,0.0035,0.003,0.0875,0.002894737,0.013947368,0.003158025,0.003,0.003091954,0.003
2022-08-23 12:20:28.781685378 +0000 UTC m=+1260.764121660,1661257228,0.003133333,0.003842105,0.003,0.004328767,0.008181818,0.003779661,0.003,0.2125,0.003,0.0115625,0.003406393,0.003,0.003086957,0.003
2022-08-23 12:21:28.495521633 +0000 UTC m=+1320.477957909,1661257288,0.003,0.004411765,0.003,0.006511628,0.007692308,0.003233333,0.003142857,0.175,0.003,0.016428571,0.00315534,0.003,0.0031,0.003
2022-08-23 12:22:28.539857931 +0000 UTC m=+1380.522294205,1661257348,0.003,0.025,0.003,0.003903226,0.007758621,0.003282051,0.003,0.25,0.003,0.016428571,0.003144981,0.003,0.003,0.003
2022-08-23 12:23:28.722783572 +0000 UTC m=+1440.705219848,1661257408,0.004333333,0.0042,0.003,0.0205,0.007681159,0.0034,0.003,0.375,0.003,0.012884615,0.003163265,0.003,0.003018692,0.003
2022-08-23 12:24:28.634165263 +0000 UTC m=+1500.616601538,1661257468,0.003133333,0.004647059,0.003,0.004502041,0.007903226,0.003227273,0.003117647,0.142857143,0.003071429,0.011730769,0.003170068,0.003,0.003047619,0.003
2022-08-23 12:25:28.520593024 +0000 UTC m=+1560.503029299,1661257528,0.003,0.055,0.003,0.004682051,0.008,0.00345,0.003,0.375,0.003,0.015192308,0.003204947,0.003,0.003017699,0.003
2022-08-23 12:26:28.475156774 +0000 UTC m=+1620.457593078,1661257588,0.0034,0.003666667,0.003,0.003823045,0.007668539,0.003111111,0.003,0.175,0.003068966,0.011451613,0.003142114,0.003,0.003053571,0.003
2022-08-23 12:27:28.916467343 +0000 UTC m=+1680.898903618,1661257648,0.0035,0.0034,0.003,0.004076923,0.0078125,0.003233766,0.003,0.0875,0.003,0.014852941,0.003191781,0.003,0.003049587,0.003
2022-08-23 12:28:28.935163512 +0000 UTC m=+1740.917599806,1661257708,0.003117647,0.004375,0.003,0.007777778,0.007839506,0.003608696,0.003,0.291666667,0.003,0.015961538,0.003207024,0.003,0.003095238,0.003
2022-08-23 12:29:28.728929181 +0000 UTC m=+1800.711365470,1661257768,0.003,0.004285714,0.003,0.005694444,0.008153846,0.003394366,0.003,0.2125,0.002923077,0.014285714,0.00317154,0.003181818,0.003037736,0.003
2022-08-23 12:30:28.618727498 +0000 UTC m=+1860.601163773,1661257828,0.003,0.01,0.003,0.004665025,0.007826087,0.00325641,0.003,0.175,0.003074074,0.012763158,0.003251938,0.003,0.003018182,0.003
2022-08-23 12:31:28.789769261 +0000 UTC m=+1920.772205543,1661257888,0.004,0.0044,0.003,0.004719626,0.007628205,0.003285714,0.003,0.2,0.003,0.012785714,0.00316791,0.003,0.003018868,0.003
2022-08-23 12:32:28.58275475 +0000 UTC m=+1980.565191025,1661257948,0.003,0.005,0.003,0.004316583,0.00787037,0.003394737,0.003,0.1,0.003,0.012708333,0.003206226,0.003,0.003034188,0.003
2022-08-23 12:33:28.565204659 +0000 UTC m=+2040.547640933,1661258008,0.003,0.0375,0.003,0.004056769,0.007960526,0.00330137,0.003,0.25,0.003,0.014573171,0.003170635,0.003,0.003071429,0.003
2022-08-23 12:34:28.66944908 +0000 UTC m=+2100.651885356,1661258068,0.003,0.0375,0.003,0.004810945,0.007788462,0.003131579,0.003,0.3125,0.003,0.016647727,0.003106122,0.003,0.003018018,0.003
2022-08-23 12:35:28.641955698 +0000 UTC m=+2160.624391972,1661258128,0.003444444,0.034375,0.003,0.004833333,0.007954545,0.003433735,0.003,0.175,0.0029375,0.0105,0.003222222,0.003,0.003057143,0.003
2022-08-23 12:36:28.634084433 +0000 UTC m=+2220.616520707,1661258188,0.003,0.0046,0.003,0.004324444,0.007866667,0.003243243,0.003,0.75,0.003,0.012954545,0.003119048,0.003,0.003116505,0.003
2022-08-23 12:37:28.623083802 +0000 UTC m=+2280.605520085,1661258248,0.003181818,0.029166667,0.003,0.004663793,0.007591463,0.003243243,0.003,0.75,0.003,0.0106,0.003126679,0.002714286,0.003054054,0.003
2022-08-23 12:38:28.562866449 +0000 UTC m=+2340.545302724,1661258308,0.003142857,0.003727273,0.003,0.004171429,0.007692308,0.003303797,0.0034,0.75,0.003,0.016702128,0.003106227,0.003,0.003017699,0.003
2022-08-23 12:39:28.794411362 +0000 UTC m=+2400.776847637,1661258368,0.003235294,0.0125,0.003,0.004371981,0.007869318,0.003183908,0.003,0.8125,0.003,0.012946429,0.003127807,0.003,0.003072072,0.003
2022-08-23 12:40:28.680270235 +0000 UTC m=+2460.662706510,1661258428,0.003,0.003,0.003,0.004551402,0.008006329,0.003278481,0.003,0.1,0.003074074,0.010857143,0.003162063,0.003,0.00307619,0.003
2022-08-23 12:41:28.745107093 +0000 UTC m=+2520.727543369,1661258488,0.0032,0.0046,0.003,0.008035714,0.007824675,0.003315789,0.003,0.3125,0.003,0.012027027,0.003172932,0.003,0.003017857,0.003
2022-08-23 12:42:28.840262587 +0000 UTC m=+2580.822698870,1661258548,0.00325,0.01,0.003,0.004386555,0.007840909,0.003432432,0.003,0.25,0.003,0.014390244,0.003180479,0.003,0.003,0.003
2022-08-23 12:43:28.66049231 +0000 UTC m=+2640.642928586,1661258608,0.003222222,0.005833333,0.003,0.004320574,0.007757732,0.003289157,0.003,0.175,0.002916667,0.014230769,0.003197133,0.003,0.00308547,0.003
2022-08-23 12:44:28.676203134 +0000 UTC m=+2700.658639409,1661258668,0.003,0.03125,0.003,0.004704762,0.007674419,0.003102564,0.003,0.375,0.003,0.01225,0.003130346,0.003,0.003017857,0.003
2022-08-23 12:45:28.553448118 +0000 UTC m=+2760.535884410,1661258728,0.003210526,0.003352941,0.003,0.00413,0.007993421,0.003617284,0.025,0.19375,0.003,0.010535714,0.003289608,0.003,0.0375,0.003
2022-08-23 12:46:28.589852619 +0000 UTC m=+2820.572288912,1661258788,0.003,0.00425,0.003,0.004398148,0.007708333,0.003447368,0.075,0.458333333,0.003,0.014632353,0.003119718,0.003,0.055172414,0.003
2022-08-23 12:47:28.642844395 +0000 UTC m=+2880.625280679,1661258848,0.003,0.004111111,0.003,0.004638298,0.0077,0.003268293,0.066666667,0.333333333,0.003,0.009605263,0.003141343,0.003,0.127272727,0.003
2022-08-23 12:48:28.597010699 +0000 UTC m=+2940.579446974,1661258908,0.003,0.003,0.003,0.004659574,0.0078,0.003268657,0.2,0.625,0.003095238,0.014112903,0.003126638,0.003,0.199350649,0.003
2022-08-23 12:49:28.596556471 +0000 UTC m=+3000.578992759,1661258968,0.004,0.005,0.003,0.004284483,0.007848101,0.003366197,0.003,0.25,0.003,0.013,0.00315625,0.003,0.003391753,0.003
2022-08-23 12:50:28.545633884 +0000 UTC m=+3060.528070158,1661259028,0.003,0.003333333,0.003,0.00440708,0.007842466,0.003222222,0.003,0.25,0.003,0.015785714,0.003113725,0.003,0.003057692,0.003
2022-08-23 12:51:28.641006546 +0000 UTC m=+3120.623442821,1661259088,0.003,0.05,0.003,0.004487923,0.007688172,0.003246914,0.003,0.25,0.003,0.014318182,0.003202206,0.003,0.003057143,0.003
2022-08-23 12:52:28.545715166 +0000 UTC m=+3180.528151441,1661259148,0.003,0.083333333,0.003,0.005227273,0.007652439,0.003298851,0.003,0.083333333,0.003,0.015294118,0.003225694,0.003,0.003056075,0.003
2022-08-23 12:53:28.634593863 +0000 UTC m=+3240.617030139,1661259208,0.003,0.00325,0.003,0.0042,0.007875,0.003303797,0.003,0.2,0.003,0.014728261,0.00321881,0.003,0.003,0.003
2022-08-23 12:54:28.817963706 +0000 UTC m=+3300.800399980,1661259268,0.003153846,0.004,0.003,0.003817021,0.007730263,0.003375,0.003,0.175,0.003,0.01325,0.003210145,0.002818182,0.003080808,0.003
2022-08-23 12:55:28.628781216 +0000 UTC m=+3360.611217500,1661259328,0.003,0.003571429,0.003,0.003952381,0.007603093,0.003236842,0.003222222,0.2125,0.003,0.011136364,0.003128155,0.003,0.003015504,0.003
2022-08-23 12:56:28.559337003 +0000 UTC m=+3420.541773286,1661259388,0.003,0.003909091,0.003,0.004362069,0.007839506,0.003282353,0.003,0.375,0.003,0.009132653,0.003198319,0.002714286,0.003073394,0.003
2022-08-23 12:57:28.592784207 +0000 UTC m=+3480.575220483,1661259448,0.003222222,0.025,0.003,0.004971292,0.007815789,0.003309524,0.003,0.175,0.003076923,0.013076923,0.003152284,0.003181818,0.003032258,0.003
2022-08-23 12:58:28.501834133 +0000 UTC m=+3540.484270408,1661259508,0.005,0.003571429,0.003,0.004379913,0.007745098,0.003162791,0.003,0.291666667,0.003,0.017,0.003152753,0.003,0.00305042,0.003
2022-08-23 12:59:28.989000273 +0000 UTC m=+3600.971436548,1661259568,0.003,0.0075,0.003,0.004542857,0.0078125,0.003325,0.0034,0.2,0.003,0.011209677,0.003196721,0.003,0.003068966,0.003
2022-08-23 13:00:28.632667608 +0000 UTC m=+3660.615103889,1661259628,0.003,0.003857143,0.004,0.004376623,0.007738095,0.003230769,0.003,0.2125,0.003,0.0125,0.003171756,0.003,0.003017857,0.003
2022-08-23 13:01:28.804195326 +0000 UTC m=+3720.786631601,1661259688,0.003363636,0.004333333,0.003,0.003823529,0.007964286,0.003459459,0.003,0.23125,0.003,0.013088235,0.003197393,0.003,0.003055556,0.003
2022-08-23 13:02:28.667968083 +0000 UTC m=+3780.650404358,1661259748,0.003666667,0.06875,0.003,0.004577586,0.007608696,0.00330303,0.003,0.2,0.003,0.0106,0.003135371,0.003,0.003057143,
2022-08-23 13:03:28.58152182 +0000 UTC m=+3840.563958096,1661259808,0.003153846,0.025,,0.004285068,0.007777778,0.003351351,0.004,0.175,0.003,0.016219512,0.003156648,0.003,0.003051282,
2022-08-23 13:04:28.757896642 +0000 UTC m=+3900.740332916,1661259868,0.003083333,0.0075,,0.011125,0.007598684,0.003210526,0.003,0.225,0.003,0.015,0.003126095,0.003,0.003058252,
2022-08-23 13:05:28.668194587 +0000 UTC m=+3960.650630892,1661259928,0.003352941,0.069444444,,0.046551724,0.007852941,0.003346667,0.003,0.5,0.003,0.015328947,0.003176776,0.003,0.003044776,0.005
2022-08-23 13:06:28.911455809 +0000 UTC m=+4020.893892121,1661259988,0.003,0.055,0.003,0.004956989,0.007554945,0.003119048,0.003,0.175,0.003,0.01266129,0.003140952,0.0026,0.003036697,0.003
2022-08-23 13:07:28.72317513 +0000 UTC m=+4080.705611406,1661260048,0.003,0.004384615,0.003,0.004625,0.007578125,0.003068966,0.003,0.25,0.003173913,0.014107143,0.003105263,0.002875,0.003034188,0.003
2022-08-23 13:08:28.74673126 +0000 UTC m=+4140.729167535,1661260108,0.003,0.0034,0.003,0.00439726,0.007708333,0.003155844,0.003,0.175,0.003,0.013984375,0.003117172,0.003,0.003035088,0.003
2022-08-23 13:09:28.687840389 +0000 UTC m=+4200.670276664,1661260168,0.003,0.0375,0.003,0.004835052,0.007948718,0.003526316,0.003,0.333333333,0.003,0.00952381,0.003231579,0.003222222,0.003086207,0.003
2022-08-23 13:10:28.594735267 +0000 UTC m=+4260.577171542,1661260228,0.003,0.05,0.003,0.004152263,0.007835366,0.003459459,0.003,0.2125,0.003083333,0.013541667,0.003201465,0.003,0.003,0.003
2022-08-23 13:11:28.648860741 +0000 UTC m=+4320.631297035,1661260288,0.003111111,0.040625,,0.004965714,0.007676471,0.00315,0.003,0.175,0.003,0.014807692,0.003128913,0.003,0.003,0.003
2022-08-23 13:12:28.751095282 +0000 UTC m=+4380.733531557,1661260348,0.003,0.004666667,,0.004387234,0.007927632,0.003216216,0.003,0.2125,0.003,0.015961538,0.003174573,0.003,0.003,0.003
2022-08-23 13:13:28.813985792 +0000 UTC m=+4440.796422067,1661260408,0.00304878,0.005,,0.0092,0.007652439,0.003243902,0.003,0.2125,0.003,0.013,0.003212544,0.003,0.003017391,0.003
2022-08-23 13:14:28.669033277 +0000 UTC m=+4500.651469552,1661260468,0.003076923,0.068181818,0.003,0.005375,0.007717391,0.003358974,,0.4375,0.003,0.01527027,0.003139456,0.003,0.003021505,0.003
2022-08-23 13:15:28.814147015 +0000 UTC m=+4560.796583291,1661260528,0.0032,0.063461538,0.003,0.025,0.00775,0.003168675,0.003153846,0.5,0.003,0.012678571,0.003168157,0.003,0.003084034,0.003
2022-08-23 13:16:28.674839051 +0000 UTC m=+4620.657275326,1661260588,0.003571429,0.0045,0.003,0.008017241,0.007746914,0.003373333,0.003,0.625,0.003,0.013125,0.003109735,0.003,0.003016807,0.003
2022-08-23 13:17:28.602799194 +0000 UTC m=+4680.585235470,1661260648,0.003,0.004428571,0.003,0.003782609,0.007941176,0.003236842,0.003,0.175,0.003,0.013088235,0.003130693,0.003,0.003133333,0.003
2022-08-23 13:18:28.784227189 +0000 UTC m=+4740.766663463,1661260708,0.003166667,0.003555556,0.003,0.004123288,0.007876344,0.003292135,0.003,0.1375,0.003,0.014943182,0.003236486,0.003,0.003,0.003
2022-08-23 13:19:28.653536511 +0000 UTC m=+4800.635972792,1661260768,0.003,0.055,0.003,0.016521739,0.007837838,0.003493506,0.003,0.75,0.003066667,0.013461538,0.003174658,0.003,0.003108108,0.003
2022-08-23 13:20:28.835955035 +0000 UTC m=+4860.818391318,1661260828,0.0032,0.003307692,0.003,0.004101695,0.0079,0.003357143,0.003,0.833333333,0.003068966,0.015472973,0.003170648,0.003,0.003072072,0.003
2022-08-23 13:21:28.529694356 +0000 UTC m=+4920.512130631,1661260888,0.003222222,0.0034,0.003,0.004779006,0.007804878,0.003232558,0.003,,0.003,0.014191176,0.003137324,0.002833333,0.003037037,0.003
2022-08-23 13:22:28.771323566 +0000 UTC m=+4980.753759842,1661260948,0.003,0.005,0.004,0.004171548,0.008107143,0.003405797,0.003,0.75,0.003,0.014468085,0.003244211,0.003,0.003073394,0.003
2022-08-23 13:23:28.819212493 +0000 UTC m=+5040.801648776,1661261008,0.003571429,,0.003,0.00419457,0.007694805,0.003054795,0.003,0.25,0.003,0.01375,0.003112554,0.003,0.003041237,0.003
2022-08-23 13:24:28.945754831 +0000 UTC m=+5100.928191106,1661261068,0.003095238,0.004,0.003,0.004373391,0.007586207,0.003297297,0.003,0.3125,0.003,0.015192308,0.003220441,0.003,0.003108108,0.003
2022-08-23 13:25:28.664887615 +0000 UTC m=+5160.647323890,1661261128,0.003571429,0.004,0.003,0.004013575,0.007666667,0.003380952,0.003,0.23125,0.003,0.014342105,0.003187713,0.003,0.003,0.003
2022-08-23 13:26:28.737297583 +0000 UTC m=+5220.719733858,1661261188,0.003142857,0.003923077,0.003,0.004584071,0.007663043,0.0034,0.003,0.2,0.003,0.013851351,0.003188976,0.003,0.003080645,0.003
2022-08-23 13:27:28.80550582 +0000 UTC m=+5280.787942095,1661261248,0.003166667,0.00475,0.003,0.004089286,0.007703488,0.00316092,0.003,0.1625,0.002904762,0.013040541,0.003125217,0.003,0.003102564,0.003
2022-08-23 13:28:28.597999919 +0000 UTC m=+5340.580436194,1661261308,0.003,0.025,0.003,0.369791667,0.008625,0.003864865,0.003,0.5,0.003,0.016923077,0.003138973,0.003,0.003,0.003
2022-08-23 13:29:28.548210089 +0000 UTC m=+5400.530646375,1661261368,0.003,,0.003,1.629464286,0.008823529,0.005384615,0.003,7.5,0.003,0.022,0.003489796,0.003,0.003228571,0.003
2022-08-23 13:30:28.801527882 +0000 UTC m=+5460.783964157,1661261428,0.003,2.125,,2.165384615,0.00975,0.006041667,0.003,,0.003,0.01375,0.00348227,,0.003,0.003
2022-08-23 13:31:28.704639547 +0000 UTC m=+5520.687075836,1661261488,0.00625,2.2,,2.633928571,0.009772727,0.005833333,0.003,,0.003,0.015357143,0.003606061,0.003,0.003,0.003
2022-08-23 13:32:28.733799421 +0000 UTC m=+5580.716235710,1661261548,0.003285714,0.25,0.003,0.264344262,0.008194444,0.003454545,0.003,1.75,0.003,0.0125,0.003138138,0.003,0.003,0.003
2022-08-23 13:33:28.633724601 +0000 UTC m=+5640.616160875,1661261608,0.003133333,0.01,0.003,0.0096875,0.00760989,0.003390244,0.003,0.375,0.002928571,0.011285714,0.003194958,0.003,0.003088496,0.003
2022-08-23 13:34:28.490223029 +0000 UTC m=+5700.472659303,1661261668,0.003,0.069444444,0.003,0.005,0.007688172,0.003404255,0.003,0.2,0.003,0.015380435,0.003180741,0.003,0.003052174,0.003
2022-08-23 13:35:28.767733226 +0000 UTC m=+5760.750169502,1661261728,0.003,0.0038,0.003,0.004304721,0.007828947,0.003410959,0.003222222,0.175,0.003,0.011590909,0.003145594,0.003,0.003037383,0.003
2022-08-23 13:36:28.686486452 +0000 UTC m=+5820.668922757,1661261788,0.003888889,0.004692308,0.003,0.004672566,0.007747253,0.003373626,0.003,0.1625,0.003,0.01375,0.003214173,0.002882353,0.003047619,0.003
2022-08-23 13:37:28.686250223 +0000 UTC m=+5880.668686497,1661261848,0.003222222,0.029166667,0.003,0.006341463,0.007864583,0.003368421,0.003,0.291666667,0.00292,0.016696429,0.003256121,0.003,0.003090909,0.003
2022-08-23 13:38:28.827055103 +0000 UTC m=+5940.809491378,1661261908,0.003,0.0035,0.003,0.003426396,0.007659574,0.003135593,0.003,1.75,0.003,0.013552632,0.003125,0.003285714,0.003066667,0.003
2022-08-23 13:39:28.586016065 +0000 UTC m=+6000.568452339,1661261968,0.003333333,0.003,0.003,0.003593407,0.00765,0.003375,0.003,,0.003,0.016,0.003113314,0.003,0.003052632,0.003
2022-08-23 13:40:28.769221048 +0000 UTC m=+6060.751657324,1661262028,0.003,0.003666667,0.003,0.003285714,0.007857143,0.003230769,0.003,1.75,0.003,0.0163,0.003074271,0.003,0.003253968,0.003
2022-08-23 13:41:28.617233984 +0000 UTC m=+6120.599670301,1661262088,,0.005,,0.01725,0.007694805,0.003376812,0.003,,0.003,0.012596154,0.003162055,,0.003018519,0.003
2022-08-23 13:42:28.756020722 +0000 UTC m=+6180.738456997,1661262148,0.003133333,0.055,0.003,0.004122807,0.007792553,0.003465116,0.003,0.25,0.003,0.014285714,0.003219048,0.003,0.003,0.003
2022-08-23 13:43:28.770987757 +0000 UTC m=+6240.753424033,1661262208,0.003125,0.004272727,0.003,0.00446798,0.00784375,0.003304348,0.003666667,0.175,0.003,0.01525,0.003223285,0.003,0.003035714,0.003
2022-08-23 13:44:28.469065113 +0000 UTC m=+6300.451501388,1661262268,0.003266667,0.004818182,0.003,0.003756579,0.007620482,0.0032,0.003,0.15625,0.003,0.016315789,0.003102894,0.003,0.003016949,0.003
2022-08-23 13:45:28.79667124 +0000 UTC m=+6360.779107516,1661262328,0.003,0.065,0.003,0.004651741,0.008042169,0.003455696,0.003,0.175,0.003,0.015384615,0.003212544,0.0026,0.003069565,0.003
2022-08-23 13:46:28.551050839 +0000 UTC m=+6420.533487114,1661262388,0.003,0.004333333,0.05,0.004568075,0.007604167,0.003186667,0.003,0.25,0.003,0.015853659,0.003139059,0.002818182,0.003,0.003
2022-08-23 13:47:28.768125677 +0000 UTC m=+6480.750561952,1661262448,0.0038,0.004647059,0.025,0.008680556,0.007764706,0.003358209,0.003,0.25,0.0029,0.010517241,0.003171548,0.003,0.003038462,0.003
2022-08-23 13:48:28.604538743 +0000 UTC m=+6540.586975027,1661262508,0.003222222,0.029166667,0.025,0.004349593,0.007755682,0.003227273,0.003,0.416666667,0.003,0.013375,0.003140704,0.003133333,0.003,0.003
2022-08-23 13:49:28.641825374 +0000 UTC m=+6600.624261649,1661262568,0.003166667,0.046875,0.875,0.006956522,0.008148148,0.003753623,0.003,1.5625,0.003,0.01375,0.003266187,0.003181818,0.00308547,0.003
2022-08-23 13:50:28.673909936 +0000 UTC m=+6660.656346210,1661262628,0.003222222,0.005,1.75,0.004446602,0.007927632,0.003426667,0.003,1.375,0.003,0.014191176,0.003238806,0.003,0.003017857,0.003
2022-08-23 13:51:28.898037314 +0000 UTC m=+6720.880473590,1661262688,0.003181818,0.005,0.003,0.016923077,0.007694805,0.003363636,0.003,0.2125,0.003,0.013857143,0.003220588,0.003,0.003052174,0.003
2022-08-23 13:52:28.711292261 +0000 UTC m=+6780.693728536,1661262748,0.004333333,0.0075,0.003,0.005520833,0.008378378,0.00326506,0.003,0.25,0.003,0.015357143,0.003252747,0.003,0.003018018,0.003
2022-08-23 13:53:28.774047593 +0000 UTC m=+6840.756483869,1661262808,0.003,0.004714286,0.003,0.007916667,0.007668539,0.003385542,0.003181818,0.25,0.003,0.015581395,0.003267606,0.002777778,0.003019417,0.003
2022-08-23 13:54:28.622749771 +0000 UTC m=+6900.605186045,1661262868,0.003142857,0.004454545,0.003,0.0071875,0.007771739,0.003506329,0.003,0.2125,0.003,0.015406977,0.003296296,0.003,0.003064,0.003
2022-08-23 13:55:28.807463713 +0000 UTC m=+6960.789900006,1661262928,0.003,0.067857143,0.003,0.004364807,0.0079375,0.00325641,0.003,1.75,0.003,0.013870968,0.003126812,0.003,0.003,0.003
2022-08-23 13:56:28.557647214 +0000 UTC m=+7020.540083489,1661262988,0.003,0.079166667,0.003,0.045535714,0.007708333,0.003666667,0.003,1.5,0.003,0.01421875,0.003371365,0.003,0.003016393,0.003
2022-08-23 13:57:28.746878285 +0000 UTC m=+7080.729314560,1661263048,0.003,0.003727273,0.003,0.004198276,0.007788462,0.003235294,0.003,1.5625,0.003,0.012205882,0.003153578,0.0026,0.003019802,0.003
2022-08-23 13:58:28.650988237 +0000 UTC m=+7140.633424512,1661263108,0.003105263,0.005,0.003,0.004424528,0.007819149,0.003125,0.003153846,0.19375,0.003,0.016838235,0.00312987,0.003,0.003069565,0.003
2022-08-23 13:59:28.632050296 +0000 UTC m=+7200.614486572,1661263168,0.003,0.004333333,0.003,0.004302521,0.007607527,0.003168675,0.003,0.125,0.003,0.014423077,0.00312523,0.003,0.003096,0.003
2022-08-23 14:00:28.665306822 +0000 UTC m=+7260.647743097,1661263228,0.003235294,0.005,0.003,0.004598253,0.007734375,0.003292135,0.003,0.175,0.003,0.013333333,0.003131833,0.003,0.003014925,0.003
2022-08-23 14:01:28.704830127 +0000 UTC m=+7320.687266402,1661263288,0.003375,0.004,0.003,0.004682692,0.007672414,0.003333333,0.003,0.09375,0.003,0.011,0.003186916,0.003,0.003087719,0.003
2022-08-23 14:02:28.736560322 +0000 UTC m=+7380.718996597,1661263348,0.003153846,0.005,0.003,0.004960784,0.007827869,0.00327027,0.003,0.175,0.003,0.012419355,0.003146718,0.003,0.003064516,0.003
2022-08-23 14:03:28.616503659 +0000 UTC m=+7440.598939943,1661263408,0.003,0.004,0.003,0.004030043,0.007957317,0.003348837,0.003,0.25,0.003,0.01225,0.003145396,0.003,0.003037383,0.003
2022-08-23 14:04:28.844414816 +0000 UTC m=+7500.826851099,1661263468,0.003,0.004,0.833333333,0.004884393,0.007993827,0.0035,0.003,1.75,0.0029,0.016328125,0.003134387,0.002714286,0.00296748,0.003
