time,timestamp,frontend_currencyservice,frontend_shippingservice,frontend_checkoutservice,frontend_adservice,checkoutservice_productcatalogservice,frontend_cartservice,checkoutservice_emailservice,frontend_productcatalogservice,checkoutservice_cartservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_currencyservice,checkoutservice_shippingservice,checkoutservice_paymentservice
2022-08-22 05:34:20.100796336 +0000 UTC m=+6180.606750316,1661146460,0.004361905,0.003,0.175,0.015535714,0.00675,0.003053571,0.003,0.006025896,0.0031,0.007732558,0.013962264,0.03125,0.003,0.003
2022-08-22 05:35:20.300891668 +0000 UTC m=+6240.806845649,1661146520,0.004680851,0.002928571,0.2,0.014662162,0.0075,0.003,0.003,0.005861345,0.003,0.007837838,0.012267442,0.003727273,0.003,0.003
2022-08-22 05:36:20.134383681 +0000 UTC m=+6300.640337662,1661146580,0.00477,0.00308,0.5,0.017279412,0.004,0.003068966,0.025,0.005656682,0.003,0.006969697,0.0105625,0.175,0.003,0.003
2022-08-22 05:37:20.136177733 +0000 UTC m=+6360.642131713,1661146640,0.004171548,0.003086957,0.375,0.016818182,0.005,0.003111111,0.15,0.006325137,0.003,0.007954545,0.015,0.003956522,0.002818182,0.003
2022-08-22 05:38:19.997249997 +0000 UTC m=+6420.503203977,1661146699,0.003828685,0.003,0.375,0.014090909,0.0075,0.003053571,0.175,0.006153017,0.003,0.007983871,0.0142,0.003555556,0.003,0.003
2022-08-22 05:39:20.015880592 +0000 UTC m=+6480.521834572,1661146760,0.004194915,0.0030625,0.85,0.015,0.004714286,0.003064516,0.7,0.004896458,0.003,0.008602941,0.01390625,0.007,0.003,0.003
2022-08-22 05:40:20.261176332 +0000 UTC m=+6540.767130313,1661146820,0.004402715,0.003,0.2125,0.010517241,0.004,0.003031746,0.003,0.004565934,0.003133333,0.005441176,0.0124375,0.033333333,0.003,0.003
2022-08-22 05:41:20.122181545 +0000 UTC m=+6600.628135525,1661146880,0.004147208,0.003,0.25,0.016642857,0.0042,0.003082474,0.003,0.005199005,0.003,0.006907895,0.011097561,0.0035,0.003,0.003
2022-08-22 05:42:20.215334626 +0000 UTC m=+6660.721288606,1661146940,0.004379592,0.003,0.25,0.014864865,0.006785714,0.003016949,0.003,0.005534351,0.003,0.007209302,0.011569767,0.0038,0.003,0.003
2022-08-22 05:43:20.324735289 +0000 UTC m=+6720.830689270,1661147000,0.004221154,0.003,0.25,0.012419355,0.003,0.003040404,0.003,0.004863481,0.003,0.006969697,0.012142857,0.04375,0.003,0.003
2022-08-22 05:44:20.176707068 +0000 UTC m=+6780.682661066,1661147060,0.004457143,0.003,1.75,0.015208333,0.004333333,0.00305042,0.003,0.005154762,0.003,0.006824324,0.01,0.0375,0.002714286,0.003
2022-08-22 05:45:20.12262638 +0000 UTC m=+6840.628580391,1661147120,0.004142857,0.003086957,0.875,0.015878378,0.00625,0.003019417,0.003,0.006268473,0.003,0.008046875,0.012908163,0.004,0.003,0.003
2022-08-22 05:46:20.070730356 +0000 UTC m=+6900.576684337,1661147180,0.004189873,0.003,0.916666667,0.016486486,0.005,0.003033613,0.003,0.005615385,0.003181818,0.00775,0.01265625,0.0045,0.003,0.003
2022-08-22 05:47:20.150992271 +0000 UTC m=+6960.656946251,1661147240,0.005,0.003,0.375,0.013,0.003,0.003078431,0.003,0.005257353,0.003,0.007297297,0.009734043,0.0625,0.003,0.003
2022-08-22 05:48:20.247618161 +0000 UTC m=+7020.753572166,1661147300,0.004552632,0.003,0.175,0.016689189,0.004111111,0.00308,0.003,0.006090909,0.003,0.00875,0.01359375,0.004466667,0.003,0.003
2022-08-22 05:49:20.005845508 +0000 UTC m=+7080.511799506,1661147360,0.004059829,0.003,0.2,0.014875,0.0075,0.003037037,0.003,0.004468657,0.003,0.00675,0.013552632,0.0175,0.003,0.003
2022-08-22 05:50:20.152475886 +0000 UTC m=+7140.658429866,1661147420,0.0046621,0.003,0.25,0.012177419,0.005416667,0.003037383,0.003,0.005591603,0.003285714,0.007375,0.009945652,0.0375,0.003,0.003
2022-08-22 05:51:20.102503831 +0000 UTC m=+7200.608457812,1661147480,0.005294118,0.003,0.333333333,0.016071429,0.005,0.003135922,0.003,0.006191489,0.003,0.009032258,0.015357143,0.03125,0.003,0.003
2022-08-22 05:52:20.335600137 +0000 UTC m=+7260.841554117,1661147540,0.00383682,0.003,0.25,0.014573171,0.004384615,0.003017391,0.003,0.005594262,0.003,0.007743902,0.014103774,0.004,0.003,0.003
2022-08-22 05:53:20.23364391 +0000 UTC m=+7320.739597890,1661147600,0.007083333,0.003,0.7,0.010703125,0.004,0.003156863,0.003,0.005387324,0.003285714,0.007867647,0.016642857,0.01,0.003,0.003
2022-08-22 05:54:20.456162647 +0000 UTC m=+7380.962116627,1661147660,0.004603687,0.003,0.75,0.015113636,0.0042,0.003016129,0.003,0.006083333,0.003,0.00804878,0.014264706,0.0046,0.003,0.003
2022-08-22 05:55:20.127481346 +0000 UTC m=+7440.633435329,1661147720,0.00465625,0.003,0.785714286,0.012109375,0.006071429,0.003034483,0.003,0.006077899,0.003,0.008552632,0.013348214,0.004555556,0.003,0.003
