time,timestamp,recommendationservice_productcatalogservice,checkoutservice_emailservice,frontend_productcatalogservice,checkoutservice_cartservice,frontend_currencyservice,frontend_checkoutservice,frontend_adservice,frontend_cartservice,frontend_recommendationservice,checkoutservice_paymentservice,frontend_shippingservice,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_shippingservice
2022-08-22 05:12:20.222619366 +0000 UTC m=+4860.728573353,1661145140,0.008365385,,0.007921456,0.004,0.035119048,0.5,0.013387097,0.004507246,0.014148936,0.003333333,0.003818182,0.008194444,0.04375,0.003333333
2022-08-22 05:13:20.039566141 +0000 UTC m=+4920.545520125,1661145200,0.008618421,0.0035,0.00775,0.00375,0.0284375,0.375,0.015514706,0.004030303,0.015294118,0.0034,0.003272727,0.007954545,0.064285714,0.004142857
2022-08-22 05:14:19.980747693 +0000 UTC m=+4980.486701674,1661145259,0.0089,0.003,0.007867133,0.003666667,0.00942,0.25,0.01375,0.004846154,0.015070423,0.003,0.003888889,0.007,0.003666667,0.003
2022-08-22 05:15:20.195726404 +0000 UTC m=+5040.701680383,1661145320,0.00845,0.003,0.007577055,0.00625,0.009381188,0.25,0.01527027,0.006285714,0.015892857,0.004,0.004647059,0.008333333,0.059375,0.0034
2022-08-22 05:16:20.240220674 +0000 UTC m=+5100.746174664,1661145380,0.008125,0.003,0.007205285,0.005,0.008706897,0.25,0.012837838,0.005522388,0.013382353,0.003,0.00348,0.0125,0.004,0.003
2022-08-22 05:17:20.12252012 +0000 UTC m=+5160.628474116,1661145440,0.008269231,0.003,0.007525685,0.003666667,0.008891304,0.23125,0.01527027,0.004210526,0.015,0.0034,0.003258065,0.009583333,0.004777778,0.0034
2022-08-22 05:18:20.101060177 +0000 UTC m=+5220.607014157,1661145500,0.009166667,0.004,0.008065789,0.005,0.007931034,0.175,0.013214286,0.0042,0.014305556,0.004,0.003727273,0.008125,0.004090909,0.003666667
2022-08-22 05:19:20.156152516 +0000 UTC m=+5280.662106496,1661145560,0.01375,0.003,0.008297872,0.0075,3.53125,,0.0146875,0.007166667,0.0205,0.0075,0.00625,0.011875,,0.005
2022-08-22 05:20:20.242023751 +0000 UTC m=+5340.747977731,1661145620,0.01375,,0.008103448,0.0075,3.922413793,,0.011875,0.00875,0.019375,,0.003,0.01,3.75,
2022-08-22 05:21:20.262874984 +0000 UTC m=+5400.768828988,1661145680,0.009285714,,0.008833333,0.003,2.983870968,,0.01625,0.004125,0.015625,,0.0035,0.005,1.75,
2022-08-22 05:22:20.098532695 +0000 UTC m=+5460.604486675,1661145740,0.009166667,0.003,0.007126068,0.0075,0.286858974,0.833333333,0.0125,0.006893939,0.015535714,0.004333333,0.0033,0.0096875,0.2125,0.003857143
2022-08-22 05:23:20.178843879 +0000 UTC m=+5520.684797859,1661145800,0.00856383,0.003,0.007605105,0.00675,0.044230769,0.5625,0.014207317,0.005933333,0.0159375,0.0045,0.003818182,0.0078125,0.0725,0.004111111
2022-08-22 05:24:19.99311241 +0000 UTC m=+5580.499066390,1661145859,0.012327586,0.003,0.008645251,0.003909091,0.0375,0.25,0.010803571,0.004353846,0.01804878,0.0042,0.003444444,0.009166667,0.0375,0.003666667
2022-08-22 05:25:20.156975472 +0000 UTC m=+5640.662929452,1661145920,0.008546512,0.003,0.007546468,0.005,0.007867133,0.25,0.01625,0.00640625,0.015590909,0.00625,0.004047619,0.009285714,0.005,0.0034
2022-08-22 05:26:20.184795246 +0000 UTC m=+5700.690749235,1661145980,0.009318182,0.003666667,0.007633929,0.007142857,0.008822314,0.175,0.01425,0.005762712,0.016176471,0.006666667,0.003761905,0.009375,0.00425,0.003666667
2022-08-22 05:27:20.20784812 +0000 UTC m=+5760.713802102,1661146040,0.009930556,0.003,0.009064961,0.005714286,0.007596899,0.175,0.017058824,0.00509434,0.016828358,0.004,0.005576923,0.00875,0.004333333,0.0034
2022-08-22 05:28:20.197881226 +0000 UTC m=+5820.703835207,1661146100,0.008257576,0.003,0.006384892,0.0075,0.75,2.125,0.01225,0.00575,0.01375,0.004,0.003857143,0.00875,0.75,0.0035
2022-08-22 05:29:20.339040503 +0000 UTC m=+5880.844994493,1661146160,0.008046875,0.003,0.006706081,0.005,0.75,1.75,0.012045455,0.005285714,0.015723684,0.005,0.003166667,0.0075,0.75,0.003
2022-08-22 05:30:20.246462883 +0000 UTC m=+5940.752416863,1661146220,0.008809524,,0.0074,,0.75,,0.0146875,0.004463415,0.0135,,0.003666667,,,
2022-08-22 05:31:20.127201136 +0000 UTC m=+6000.633155117,1661146280,0.009375,0.003,0.008307927,0.007692308,0.008561321,0.2,0.01375,0.006121795,0.017372881,0.006,0.004647059,0.009285714,0.004047619,0.003666667
2022-08-22 05:32:19.965095597 +0000 UTC m=+6060.471049584,1661146339,0.009166667,0.003333333,0.007912371,0.0045,0.007640845,0.1875,0.015357143,0.005423077,0.015952381,0.003,0.003740741,0.007045455,0.004384615,0.0038
2022-08-22 05:33:20.377961377 +0000 UTC m=+6120.883915357,1661146400,0.009013158,0.003,0.008392857,0.0034,0.006666667,0.175,0.015535714,0.004784615,0.016428571,0.003,0.0045,0.01,0.01375,0.0034
2022-08-22 05:34:20.114331133 +0000 UTC m=+6180.620285113,1661146460,0.009487179,0.0034,0.008380282,0.00675,0.008555046,0.175,0.015670732,0.005901639,0.016309524,0.005,0.006111111,0.008928571,0.004454545,0.0036
2022-08-22 05:35:20.317758982 +0000 UTC m=+6240.823712970,1661146520,0.008511905,0.003,0.00816,0.006,0.0095625,0.2,0.014934211,0.00625,0.015974576,0.003,0.004529412,0.008333333,0.004,0.003
2022-08-22 05:36:20.149671746 +0000 UTC m=+6300.655625727,1661146580,0.008680556,0.025,0.00832996,0.003666667,0.00786,0.5,0.018108108,0.004117647,0.01578125,0.003,0.003875,0.0075,0.0075,0.003666667
2022-08-22 05:37:20.151652999 +0000 UTC m=+6360.657606996,1661146640,0.0109375,0.175,0.009102564,0.004,0.007780374,0.375,0.017,0.004517241,0.017653061,0.005,0.004058824,0.008333333,0.0042,0.003181818
2022-08-22 05:38:20.012289677 +0000 UTC m=+6420.518243658,1661146700,0.008970588,0.175,0.008261317,0.004333333,0.0075,0.375,0.015357143,0.005524194,0.015416667,0.004333333,0.003727273,0.015625,0.003545455,0.003222222
2022-08-22 05:39:20.032417958 +0000 UTC m=+6480.538371946,1661146760,0.009715909,0.75,0.007966361,0.005555556,0.008665414,0.8,0.015785714,0.005555556,0.016576923,0.003,0.0035,0.007666667,0.01,0.003666667
2022-08-22 05:40:20.277773701 +0000 UTC m=+6540.783727683,1661146820,0.008525641,0.003,0.007229242,0.003461538,0.008177966,0.22,0.011640625,0.004253333,0.013894231,0.003285714,0.003761905,0.007916667,0.02,0.003285714
2022-08-22 05:41:20.137702076 +0000 UTC m=+6600.643656074,1661146880,0.008522727,0.003,0.008004032,0.005,0.007570922,0.25,0.017697368,0.0052,0.014449153,0.003,0.0038,0.006666667,0.01,0.003666667
2022-08-22 05:42:20.229264607 +0000 UTC m=+6660.735218587,1661146940,0.008806818,0.0034,0.007481343,0.004428571,0.008423077,0.25,0.015,0.004561644,0.015375,0.0034,0.0032,0.009166667,0.029166667,0.004
2022-08-22 05:43:20.3417285 +0000 UTC m=+6720.847682480,1661147000,0.009354839,0.003,0.007525907,0.0075,0.007954545,0.25,0.014772727,0.004929825,0.013392857,0.003,0.0035,0.008333333,0.05,0.003
2022-08-22 05:44:20.195213061 +0000 UTC m=+6780.701167041,1661147060,0.008461538,0.75,0.007601852,0.006,0.007986111,1.75,0.015576923,0.005732759,0.0145,0.006666667,0.004066667,0.005833333,0.0075,0.003666667
2022-08-22 05:45:20.139787746 +0000 UTC m=+6840.645741727,1661147120,0.008597561,0.75,0.008525105,0.00625,0.007329932,0.875,0.017134146,0.005141509,0.015663265,0.003,0.0042,0.009,0.004714286,0.004333333
2022-08-22 05:46:20.089363195 +0000 UTC m=+6900.595317175,1661147180,0.008988095,0.75,0.008598214,0.003222222,0.00682377,0.916666667,0.016153846,0.004478261,0.015338983,0.004333333,0.004142857,0.009,0.003888889,0.003222222
2022-08-22 05:47:20.175827969 +0000 UTC m=+6960.681781950,1661147240,0.008166667,0.003,0.00770751,0.01,0.007406015,0.375,0.017272727,0.006408451,0.014955357,0.0075,0.003625,0.005,0.004,0.003
2022-08-22 05:48:20.263809349 +0000 UTC m=+7020.769763354,1661147300,0.009695122,0.003285714,0.008050987,0.005555556,0.008517241,0.175,0.016283784,0.005307692,0.017148438,0.003666667,0.00364,0.008,0.00625,0.003285714
2022-08-22 05:49:20.020659457 +0000 UTC m=+7080.526613455,1661147360,0.009473684,0.003,0.007101293,0.003666667,0.006869565,0.2,0.015328947,0.003972973,0.013040541,0.003666667,0.0035,0.009375,0.004142857,0.003
2022-08-22 05:50:20.170506403 +0000 UTC m=+7140.676460385,1661147420,0.007771739,0.0034,0.007415644,0.00375,0.008648148,0.25,0.014573171,0.004628571,0.0145,0.0034,0.004714286,0.009583333,0.03125,0.004428571
2022-08-22 05:51:20.122081907 +0000 UTC m=+7200.628035896,1661147480,0.012115385,0.004,0.008557692,0.005,0.023676471,0.25,0.016328125,0.005448718,0.016923077,0.005,0.004384615,0.007777778,0.06875,0.003666667
